	mRNA	log(FC)	Expression
17	COL11A1	4.622132	Up
19	COL1A2	4.2656767	Up
13	COL10A1	4.0129792	Up
100	CTHRC1	3.8818725	Up
206	ASPM	3.784441	Up
87	ASPN	3.6971226	Up
188	FBN1	3.583416	Up
85	LRRC15	3.5174998	Up
162	FNDC1	3.5055647	Up
52	VCAN	3.3310958	Up
1148	TOP2A	3.3218141	Up
315	VCAN	3.2835411	Up
254	FN1	3.2587985	Up
29	COL11A1	3.2476569	Up
628	ANGPT2	3.0378149	Up
150	FBN1	3.0317376	Up
61	COL5A2	3.0316958	Up
1032	LYZ	3.0133655	Up
139	FN1	3.0096155	Up
14	COL1A1	2.9905603	Up
26	COL1A1	2.9898025	Up
1192	VCAN	2.9626992	Up
341	CLEC7A	2.956147	Up
168	FN1	2.9538402	Up
1270	TOP2A	2.9157019	Up
316	TACC3	2.9035155	Up
432	INHBA	2.8873032	Up
126	MMP11	2.8838468	Up
201	FAR2	2.8799896	Up
371	TCF4	2.8704126	Up
697	KIF23	2.8521854	Up
109	LAMP5	2.8483043	Up
33	THBS2	2.841658	Up
145	WISP1	2.8135482	Up
809	FAP	2.7989536	Up
592	LOXL1	2.7983061	Up
117	FN1	2.7948262	Up
416	BUB1	2.7939042	Up
383	ASPN	2.7911401	Up
119	FBXO11	2.7695179	Up
502	KIF20A	2.7637047	Up
782		2.7586679	Up
667	HMMR	2.7572599	Up
214	COL10A1	2.7364731	Up
360	SFRP2	2.7239607	Up
58	COL3A1	2.7194436	Up
255	COMP	2.6924845	Up
493	TRIM59///IFT80	2.6913859	Up
210	COL1A2	2.6865851	Up
431	COL5A2	2.6757558	Up
702		2.6644212	Up
118	PPM1D	2.6552018	Up
659	NEK2	2.6469289	Up
252	HSD17B6	2.6436248	Up
104	BGN	2.641368	Up
767	ADAMTS2	2.6399545	Up
222	COL5A1	2.593865	Up
753	SAMD9	2.5747225	Up
136	IREB2	2.5658979	Up
247	CSGALNACT2	2.5645614	Up
127	COL1A2	2.5502025	Up
1552	COL4A1	2.5438928	Up
1223	ADAM12	2.5391919	Up
1566	EDNRA	2.5368696	Up
176	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A///HIST1H2AD	2.5315718	Up
498	HS3ST3B1	2.4946956	Up
900	LOX	2.4799072	Up
204		2.4720021	Up
50	COL3A1	2.4648389	Up
755	COL8A1	2.4589685	Up
358	CWF19L2	2.4496448	Up
72	P4HA3	2.4051285	Up
1137	DYNC2LI1	2.392717	Up
835	DNM3OS	2.3827365	Up
844	HDGFRP3	2.3782691	Up
265	NRP2	2.3587421	Up
1665	CLEC2B	2.3583915	Up
276	POSTN	2.3538937	Up
59	COL3A1	2.3477889	Up
137	CXCL10	2.3145647	Up
93	VCAN	2.3130183	Up
67	COL1A1	2.3111881	Up
654	FBN1	2.3071575	Up
399	NCOA3	2.3012172	Up
530	C9orf72	2.2999925	Up
1289	LEF1	2.2940983	Up
1220	GNA13	2.2920984	Up
627	COL3A1	2.2848985	Up
68	VCAN	2.283893	Up
227	STAT1	2.2826072	Up
1439	C5AR1	2.2744798	Up
1715	CDK1	2.2618444	Up
475	DOCK1	2.2595484	Up
2090	CXCL11	2.2591803	Up
239	HIST1H2BJ///HIST1H2BG	2.2578907	Up
521		2.252029	Up
287	RSAD2	2.2467894	Up
241	CENPF	2.2416032	Up
594	NINJ2	2.2353896	Up
394	HSD17B6	2.2258221	Up
92	LOC100507291	2.2140564	Up
1955	CCNB1	2.208809	Up
478	INHBA	2.2087611	Up
1340	ZNF382	2.2062637	Up
1285	OAS1	2.2027026	Up
1308		2.1965698	Up
433	CDH11	2.1945482	Up
615	SAMD9	2.1870534	Up
649	IFI6	2.1845104	Up
3413	SMC4	2.1841906	Up
278	GDAP1	2.1706913	Up
207	COL5A1	2.1695713	Up
598	TMEM119	2.1689236	Up
1103	NPL	2.1681843	Up
861	STAT1	2.1681149	Up
116	COL6A3	2.1639581	Up
2317	ST6GALNAC1	2.1624218	Up
1317	CRISP3	2.1599557	Up
298	GMFB	2.1514121	Up
629	VAPB	2.1491898	Up
51	BGN	2.144335	Up
548	MKI67	2.1367926	Up
450		2.1267519	Up
1141	IFI44	2.1254768	Up
2302		2.1230291	Up
286	ADAM12	2.1225323	Up
470	CCT5	2.1172515	Up
195	PLPP4	2.1160595	Up
963		2.1138944	Up
563	CINP	2.1136474	Up
1310	ABCD3	2.1112627	Up
757	ADAP2	2.106002	Up
688	FN1	2.105527	Up
603	SULF1	2.0969374	Up
234	ZBTB26	2.0948382	Up
2200	PCDH9	2.0927789	Up
1178	GALNT2	2.0896738	Up
424	GXYLT2	2.0804192	Up
1695		2.0785537	Up
1052	GSR	2.0739576	Up
1485	LINC01116	2.0738803	Up
365	CCNA2	2.0684938	Up
1151	SFRP4	2.0658096	Up
508	SFRP4	2.0636972	Up
518	PARVB	2.0628511	Up
76	SFRP2	2.0582275	Up
3075	SLC25A43	2.0570005	Up
213	CEMIP	2.0558063	Up
3008	CCDC102B	2.0463393	Up
1190	ADAM12	2.0402875	Up
56	POSTN	2.0372481	Up
180	ABCC4	2.0240715	Up
1016	FUT8	2.0143895	Up
3236	NOX4	2.010921	Up
1189	CCDC80	2.0076432	Up
671		2.0058207	Up
94	AEBP1	2.0046441	Up
2489		1.9972877	Up
1762	PRC1	1.9972116	Up
1453	NPEPL1	1.9951746	Up
1222	SLC8A1	1.9948954	Up
3021	FILIP1	1.9900297	Up
452	LOC158402	1.9877333	Up
1777	INTS10	1.9868169	Up
960	MORC2	1.9867196	Up
927	CDKN3	1.9866758	Up
918	ST3GAL4-AS1	1.9865792	Up
1994	BDKRB2	1.9722301	Up
2671	ALG13	1.9721893	Up
54	MXRA5	1.9701353	Up
542	TYMS	1.955691	Up
2342	SPTBN1	1.9556044	Up
64	OLFML2B	1.9555331	Up
749	OAS1	1.9489657	Up
1567	ZNF630	1.9437464	Up
1578	WDR26	1.9429643	Up
3380	BRCA1	1.942318	Up
695	INPP5B	1.9364723	Up
1654	SPC25	1.9327494	Up
2188	TP53RK	1.9322404	Up
1767	RFTN1	1.9316969	Up
492	TOR1AIP2	1.9289142	Up
1459	DDX60	1.9280492	Up
2377	ZDHHC21	1.9209888	Up
2296	BIRC5	1.9168645	Up
1218	SULF1	1.9145245	Up
1045	EPSTI1	1.9141287	Up
494	HIST1H3E	1.9050126	Up
1133	MRPS30	1.9045219	Up
570	DGKH	1.8937255	Up
1825	CELF2	1.8884327	Up
780	BRIP1	1.8875851	Up
512	KIF15	1.8870162	Up
3406	FAM124B	1.884755	Up
2077	OMD	1.8840634	Up
300		1.8551588	Up
2044		1.8511674	Up
2395		1.8489165	Up
2756	POSTN	1.8478581	Up
427	ISG15	1.8455415	Up
582	EPYC	1.842634	Up
1884	DCBLD1	1.8411401	Up
221	FBN2	1.8386905	Up
1508	AURKB	1.8383984	Up
1959	RFTN2	1.8364256	Up
954	FCGR1B	1.8284515	Up
343	UNC5B	1.8232451	Up
1374	QPRT	1.8217	Up
468	GALNT2	1.8204431	Up
819	PRR11	1.81919	Up
1483	TMED6	1.8164902	Up
543	CCNB2	1.8143064	Up
503	LGALS9	1.8100649	Up
1528	ALOX12-AS1	1.8059679	Up
1011	NUDT1	1.8045017	Up
1028	IFIT5	1.803535	Up
2032	COCH	1.7968734	Up
1107	MFAP2	1.7959953	Up
1764	GPRC5A	1.7888562	Up
2360	CNIH3	1.7888204	Up
134	HUS1	1.7865673	Up
1368	ISG20	1.7857942	Up
1916	LOC100506922	1.7848944	Up
1601	PLXNC1	1.7763016	Up
65	COL12A1	1.7752005	Up
314	FGF18	1.7750764	Up
1954	MMP1	1.7708291	Up
