	miRNA	log(FC)	Expression
46	miR-132-5p	58.0	Up
1	let-7a-3p	1.106349	Up
66	miR-140-3p	0.782386	Up
413	miR-891b	0.782343	Up
16	miR-1178-3p	0.743976	Up
10	miR-106a-3p	0.721922	Up
31	miR-1298-5p	0.623634	Up
18	miR-1185-5p	0.612484	Up
186	miR-373-5p	0.556989	Up
29	miR-1296-5p	0.510644	Up
363	miR-607	0.446789	Up
196	miR-377-3p	0.438987	Up
216	miR-423-3p	0.434395	Up
197	miR-377-5p	0.425963	Up
437	miR-941	0.424014	Up
145	miR-19b-2-5p	0.418118	Up
28	miR-1295a	0.413956	Up
87	miR-148b-3p	0.40902	Up
43	miR-130b-3p	0.398468	Up
233	miR-450b-5p	0.396601	Up
397	miR-875-3p	0.388421	Up
85	miR-148a-3p	0.380061	Up
353	miR-597-5p	0.379898	Up
316	miR-524-3p	0.37764	Up
138	miR-199a-3p	0.374963	Up
398	miR-875-5p	0.365989	Up
288	miR-512-3p	0.363305	Up
57	miR-135b-3p	0.356336	Up
174	miR-217	0.326485	Up
309	miR-520f-3p	0.325667	Up
41	miR-130a-3p	0.312282	Up
94	miR-152-3p	0.301789	Up
14	miR-10a-3p	0.299538	Up
261	miR-494-3p	0.292966	Up
139	miR-199a-5p	0.292904	Up
215	miR-422a	0.286913	Up
54	miR-135a-5p	0.27904	Up
175	miR-218-5p	0.274045	Up
116	miR-18b-5p	0.271387	Up
93	miR-151a-5p	0.267806	Up
74	miR-144-3p	0.266087	Up
383	-	0.26539	Up
72	miR-143-3p	0.254531	Up
176	miR-363-5p	0.239514	Up
425	miR-92b-3p	0.232948	Up
101	miR-15a-5p	0.223392	Up
34	miR-1302	0.209429	Up
356	miR-600	0.20393	Up
188	miR-374a-3p	0.203248	Up
232	miR-450b-3p	0.203033	Up
377	miR-619-3p	0.199572	Up
81	miR-146b-3p	0.196798	Up
307	miR-520d-5p	0.196126	Up
141	miR-19a-3p	0.192957	Up
182	miR-371a-3p	0.191968	Up
177	miR-365a-3p	0.19143	Up
127	miR-193b-3p	0.191266	Up
259	miR-493-5p. miR-493-3p	0.18967	Up
105	miR-16-5p	0.188895	Up
334	miR-548a-3p	0.188892	Up
260	miR-493-5p	0.186734	Up
272	miR-501-5p	0.182133	Up
220	miR-425-3p. miR-425-5p	0.178401	Up
67	miR-140-5p	0.176777	Up
123	miR-192-5p	0.176538	Up
168	miR-212-3p	0.171325	Up
50	miR-1324	0.171097	Up
204	miR-381-3p	0.162534	Up
152	miR-202-3p	0.158471	Up
228	miR-448	0.156152	Up
325	miR-539-5p	0.154748	Up
156	miR-205-5p	0.153031	Up
347	miR-591	0.151887	Up
242	miR-483-3p	0.151252	Up
275	miR-503-5p	0.146353	Up
49	miR-1323	0.144926	Up
178	miR-367-3p	0.141455	Up
299	miR-519d-3p	0.140825	Up
333	miR-545-5p	0.137054	Up
37	miR-1305	0.133444	Up
302	miR-520a-3p	0.131686	Up
103	miR-15b-5p	0.131308	Up
48	miR-1322	0.128497	Up
185	miR-373-3p	0.124565	Up
258	miR-492	0.123212	Up
33	miR-1301-3p	0.121189	Up
171	miR-215-5p	0.120405	Up
91	miR-150-3p	0.119975	Up
268	miR-499a-5p	0.119572	Up
12	miR-106b-3p	0.118803	Up
445	miR-99a-5p	0.118184	Up
311	miR-520h	0.116982	Up
172	miR-216a-5p	0.116186	Up
352	miR-596	0.115851	Up
395	miR-873-5p	0.11547	Up
193	miR-376a-5p	0.113425	Up
149	miR-200b-5p	0.112182	Up
147	miR-200a-5p	0.11171	Up
382	miR-624-3p. miR-624-5p	0.106585	Up
277	miR-505-3p	0.105363	Up
192	miR-376a-3p	0.105077	Up
97	miR-154-5p	0.102944	Up
429	miR-933	0.102103	Up
21	miR-129-5p	0.100331	Up
362	miR-606	0.099837	Up
146	miR-200a-3p	0.099211	Up
266	miR-498	0.098166	Up
96	miR-1537-3p	0.097496	Up
359	miR-603	0.096365	Up
73	miR-143-5p	0.094934	Up
227	miR-433-3p	0.094715	Up
164	miR-21-5p	0.0926	Up
364	miR-608	0.09034	Up
241	miR-455-5p	0.090206	Up
154	miR-203a-3p	0.090189	Up
92	miR-151a-3p	0.088806	Up
300	miR-519e-3p	0.087517	Up
80	miR-146a-3p	0.087489	Up
6	miR-103a-3p	0.086471	Up
317	miR-524-5p	0.086349	Up
250	miR-487b-3p	0.08408	Up
60	miR-137	0.08296	Up
414	miR-892a	0.082229	Up
165	miR-21-3p	0.081752	Up
119	miR-1908-5p	0.081683	Up
153	miR-202-5p	0.081391	Up
160	miR-20a-5p	0.081363	Up
249	miR-487a-3p	0.081152	Up
19	miR-1288-3p	0.080663	Up
348	miR-592	0.078865	Up
255	miR-490-5p	0.078435	Up
298	miR-519c-3p	0.076618	Up
295	miR-515-3p	0.075225	Up
124	miR-192-3p	0.074893	Up
42	miR-130a-5p	0.073588	Up
187	miR-374a-5p	0.073443	Up
75	miR-144-5p	0.07192	Up
273	miR-502-3p	0.071584	Up
104	miR-15b-3p	0.071369	Up
77	miR-145-3p	0.07104	Up
424	miR-92a-2-5p	0.0707	Up
313	miR-522-3p	0.070436	Up
45	miR-132-3p	0.068525	Up
210	miR-410-3p	0.066806	Up
305	miR-520c-3p	0.066055	Up
308	miR-520e	0.065838	Up
358	miR-602	0.06564	Up
24	miR-1291	0.065552	Up
199	miR-378a-5p	0.065164	Up
312	miR-521	0.064855	Up
394	miR-802	0.063747	Up
387	miR-760	0.063681	Up
293	miR-513c-5p	0.063315	Up
118	miR-190a-5p	0.063075	Up
121	miR-191-5p	0.062837	Up
326	miR-541-3p	0.062315	Up
435	miR-939-5p	0.060893	Up
206	miR-383-5p	0.060884	Up
369	miR-613	0.060588	Up
284	miR-509-3p	0.060252	Up
329	miR-542-5p	0.059547	Up
88	miR-149-5p	0.058982	Up
136	miR-197-3p	0.058067	Up
406	-	0.057556	Up
372	miR-615-5p	0.05736	Up
22	miR-129-1-3p	0.057334	Up
238	miR-454-3p	0.056174	Up
212	miR-411-3p	0.056143	Up
208	miR-409-3p	0.055374	Up
239	miR-454-5p	0.05441	Up
71	miR-142-5p	0.053757	Up
346	miR-590-3p	0.05325	Up
217	miR-423-5p	0.05311	Up
225	miR-432-5p	0.052894	Up
26	miR-1293	0.052853	Up
297	miR-519b-3p	0.052693	Up
195	miR-376c-3p	0.052602	Up
189	miR-374b-5p	0.052312	Up
82	miR-146b-5p	0.051664	Up
428	miR-93-3p	0.051356	Up
296	miR-515-5p	0.050472	Up
