mRNA	log(FC)
SERPINB5	-4.275421
PI15	-4.6589974
SYNM	-3.4345757
KRT14	-5.0723701
TRIM29	-4.0552956
COL1A2	4.2656767
CNN1	-3.5289025
IFFO2	-2.0355191
SOX10	-2.8345453
GABRP	-4.0124521
DST	-3.5918379
ID4	-2.7158307
COL1A1	2.9898025
ATP1A2	-3.5782686
SFRP1	-2.9919066
COL11A1	3.2476569
KCNJ16	-2.5399648
PDLIM4	-2.5672838
GSTA1	-3.3010217
THBS2	2.841658
MYH11	-2.7775631
IP6K1	-1.7519484
SFRP1	-3.2679883
MYH11	-2.9969219
HSD17B6	2.6436248
PDGFRA	-1.7910823
FN1	3.2587985
COMP	2.6924845
HECTD1	1.67289
FOSB	-2.5177604
OTUD3	-1.7330763
TGFB1I1	-1.5594307
DAB2IP	-1.2225351
KRT7	-2.1833004
ZNF821	-1.548923
LUM	1.7173986
B3GALNT2	-1.7861731
NRP2	2.3587421
CTDSPL	-1.2386767
LYPD6	-3.0302737
KCNH6	-1.4154942
GDAP1	2.1706913
KYNU	-2.3823377
FHOD3	-2.5966881
CEP104	-1.5069009
THY1	1.4499603
CADM1	-2.0064459
UNC119B	-0.9639668
CAB39L	-1.4911691
ADAM12	2.1225323
RSAD2	2.2467894
HOXA4	-1.5654282
KIT	-2.543261
SOX9	-2.4011958
KLK5	-1.7341844
ATG9B	-1.3463407
DSC3	-2.4882935
ZNF542P	-1.6510742
CLU	-0.986521
EHF	-2.1072741
TF	-2.3496307
FGF18	1.7750764
VCAN	3.2835411
TACC3	2.9035155
ATP13A5	-2.3348836
FNDC3A	1.666888
FERMT1	-2.1253513
	-1.5225855
DCUN1D3	-1.1729619
LINC01553	-1.6151854
SBNO1	-1.1866882
FOXC1	-1.7115805
LINC00899	-1.4163064
SAMD5	-2.4923012
MPZL3	-2.4326999
NDUFC2-KCTD14///KCTD14	-2.4620564
	-1.2614648
PAK3	-2.5219149
CHKA	-1.7270055
NHSL1	-1.9233002
CRAMP1	-0.9821793
IL17RB	-1.8261026
C9orf3	-1.8635775
KIAA1324	-1.5966587
CNGB3	1.3978735
TSPAN3	-1.7213655
CARMN	-1.4513295
CHPT1	-2.686089
CLEC7A	2.956147
COL7A1	-1.5627674
UNC5B	1.8232451
PHGDH	-1.1301044
PPP4R4	-3.635878
GPM6B	-3.1439519
DTX3	-1.1544704
HAS3	-1.9395373
MUC15	-2.9949205
EZH1	-1.215226
NCOA7	-1.3652298
	-1.351467
PPFIBP1	1.0195071
	1.4542378
	-1.6433881
CHI3L1	-2.7286399
RABL3	1.449426
MMP14	1.2803738
GNL1	-0.6707749
PRR18	1.1691198
CTH	-2.3650771
VWA3B	1.1569624
NUDT1	1.8045017
	-1.475647
VGLL1	-2.5173733
SOCS2-AS1	-1.4382369
UNC5C	-1.0473394
FUT8	2.0143895
VOPP1	1.287116
XKR6	-1.7257107
RASSF2	1.5403062
CDH1	-1.992438
CMTR2	-1.7850165
	-1.5585905
VARS	1.2402202
CA8	-1.5638287
ZBTB4	-0.6352318
MT1E	-1.2340831
FAM129A	-1.3700099
IFIT5	1.803535
	1.4962094
DNAH11	-1.3464653
MAGI1	-1.4311731
LYZ	3.0133655
	-1.255504
RAB18	0.9514431
	1.5659324
ARHGEF37	-1.0183326
