miRNA	log(FC)
let-7a-5p	-0.083769
let-7a-3p	1.106349
let-7b-5p	-0.827761
let-7b-3p	-0.411222
let-7c-5p	-0.970358
-	1.405335
let-7d-5p	-0.130274
let-7d-3p	-0.281604
let-7e-5p	-0.186504
let-7e-3p	0.302952
let-7f-5p	-0.117852
let-7f-1-3p	0.347963
let-7f-2-3p	0.497947
let-7g-5p	-0.227864
let-7g-3p	-0.056424
let-7i-5p	0.196425
let-7i-3p	0.770709
miR-1-3p	0.610011
miR-100-5p	-0.591401
miR-100-3p	0.121294
miR-101-3p	-0.077937
miR-101-5p	-0.796091
miR-103a-3p	0.086471
miR-105-5p	-0.871366
miR-105-3p	-0.199273
miR-106a-5p	-0.211278
miR-106a-3p	0.721922
miR-106b-5p	-0.061948
miR-106b-3p	0.118803
miR-107	0.188588
miR-10a-5p	-0.181564
miR-10a-3p	0.299538
miR-10b-5p	-0.264191
miR-1178-3p	0.743976
miR-1179	0.825808
miR-1180-3p	-0.120095
miR-1181	0.107093
miR-1182	-0.783167
miR-1183	-1.57783
miR-1184	0.81295
miR-1185-5p	0.612484
miR-1197	0.064191
miR-1200	-0.117674
-	-0.152032
miR-1202	-0.697968
miR-1203	0.069338
miR-1204	0.054942
miR-1205	0.641732
miR-1206	0.069887
miR-1207-3p	-0.953516
miR-1207-5p	-0.075424
miR-1208	0.396501
miR-122-5p	-0.156533
miR-122-3p	0.482524
miR-1224-3p	1.150169
miR-1224-5p	0.422765
miR-1225-3p	0.099028
miR-1225-5p	-0.817656
miR-1226-3p	-0.125185
miR-1226-5p	0.066544
miR-1227-3p	-0.14648
miR-1228-3p	-0.918803
miR-1228-5p	-0.875897
miR-1229-3p	-0.106431
miR-1231	-0.524371
miR-1233-3p	-0.976616
miR-1234-3p	-0.322379
miR-1236-3p	-0.329209
miR-1237-3p	-0.730683
miR-1238-3p	0.287295
miR-124-3p	0.277179
miR-124-5p	-0.126872
miR-1243	-0.814443
miR-1244	-0.440556
miR-1245a	0.668314
miR-1246	-0.179607
miR-1247-5p	0.779658
miR-1248	-0.720766
miR-1249-3p	-0.116108
miR-1250-5p	-0.445521
miR-1251-5p	0.078602
miR-1252-5p	0.495639
miR-1253	-0.214146
miR-1254	-0.062026
miR-1255a	0.119708
miR-1255b-5p	-0.439503
miR-1256	0.165798
miR-1257	-0.847556
miR-1258	0.083788
-	-0.140646
miR-125a-3p	-0.061498
miR-125a-5p	-0.727466
miR-125b-5p	-0.443605
miR-125b-1-3p	-0.072506
miR-125b-2-3p	-0.449772
miR-126-3p	-0.557377
miR-126-5p	-0.624017
miR-1260a	-0.655667
miR-1261	-0.098599
miR-1262	-0.337247
miR-1263	0.130532
miR-1264	-0.520774
miR-1265	0.062979
miR-1266-5p	-0.049285
miR-1267	0.075264
miR-1268a	-0.988816
miR-1269a	0.063532
miR-127-3p	0.515945
miR-127-5p	-0.689244
miR-1270	0.554959
miR-1271-5p	-0.102157
miR-1272	-0.184205
miR-1273a	-0.060873
-	0.521032
-	-0.092361
miR-1275	-0.630337
miR-1276	0.10982
miR-1277-3p	-0.095339
miR-1278	-0.060222
miR-1279	0.169216
miR-128-3p	0.359865
-	0.541804
miR-1281	-0.325312
miR-1282	0.087684
miR-1283	-0.064298
miR-1284	0.56123
miR-1285-3p	-0.170691
miR-1286	-0.524329
miR-1287-5p	0.158833
miR-1288-3p	0.080663
miR-1289	-0.116206
miR-129-2-3p	-0.240774
miR-129-5p	0.100331
miR-129-1-3p	0.057334
miR-1290	-0.484718
miR-1291	0.065552
miR-1292-5p	0.048144
miR-1293	0.052853
miR-1294	-0.101405
miR-1295a	0.413956
miR-1296-5p	0.510644
miR-1297	-0.754165
miR-1298-5p	0.623634
miR-1299	-0.07152
-	-0.331044
miR-1301-3p	0.121189
miR-1302	0.209429
miR-1303	-0.103809
miR-1304-5p	-0.390006
miR-1305	0.133444
miR-1306-3p	-0.064738
miR-1307-3p	-0.110435
-	-0.098656
miR-130a-3p	0.312282
miR-130a-5p	0.073588
miR-130b-3p	0.398468
miR-130b-5p	-0.282568
miR-132-3p	0.068525
miR-132-5p	58
miR-1321	-0.059127
miR-1322	0.128497
miR-1323	0.144926
miR-1324	0.171097
miR-133a-3p	-0.731331
miR-133b	-0.055392
miR-134-5p	-0.500216
miR-135a-5p	0.27904
miR-135a-3p	-0.178347
miR-135b-5p	-0.16738
miR-135b-3p	0.356336
miR-136-5p	-0.743315
miR-136-3p	-0.31942
miR-137	0.08296
miR-138-5p	-0.320982
miR-138-1-3p	-0.053209
miR-138-2-3p	-0.274555
miR-139-3p	0.046911
miR-139-5p	-0.619223
miR-140-3p	0.782386
miR-140-5p	0.176777
miR-141-3p	-0.097994
miR-141-5p	-0.275965
miR-142-3p	-0.07182
miR-142-5p	0.053757
miR-143-3p	0.254531
miR-143-5p	0.094934
miR-144-3p	0.266087
miR-144-5p	0.07192
miR-145-5p	-0.046202
miR-145-3p	0.07104
miR-1468-5p	-0.457545
miR-146a-5p	-0.048252
miR-146a-3p	0.087489
miR-146b-3p	0.196798
miR-146b-5p	0.051664
miR-147a	-0.775625
miR-147b	-0.07289
miR-148a-3p	0.380061
miR-148a-5p	-0.112185
miR-148b-3p	0.40902
miR-149-5p	0.058982
miR-149-3p	-0.051952
miR-150-5p	-0.094267
miR-150-3p	0.119975
miR-151a-3p	0.088806
miR-151a-5p	0.267806
miR-152-3p	0.301789
miR-153-3p	-0.100294
miR-1537-3p	0.097496
miR-154-5p	0.102944
miR-154-3p	-0.245966
miR-155-5p	-0.095902
miR-155-3p	-0.152326
miR-15a-5p	0.223392
miR-15a-3p	-0.126734
miR-15b-5p	0.131308
miR-15b-3p	0.071369
miR-16-5p	0.188895
miR-16-1-3p	-0.172234
miR-16-2-3p	-0.096258
miR-17-5p, miR-17-3p	-0.734676
miR-17-3p	-0.080686
miR-181a-5p	-0.416787
miR-181a-2-3p	-0.29825
miR-181a-3p	-0.131099
miR-181b-5p	-0.081174
miR-181c-5p	-0.043483
miR-181c-3p	-0.207302
miR-181d-5p	-0.41383
miR-182-5p	0.344717
miR-182-3p	-0.430235
miR-1825	-0.101987
-	0.251406
miR-1827	-0.070808
miR-183-5p	0.17066
miR-183-3p	-0.055154
miR-184	0.102214
miR-185-5p	0.065217
miR-185-3p	0.137732
miR-186-5p	0.085945
miR-186-3p	0.120887
miR-187-3p	-0.144504
miR-187-5p	0.045803
miR-188-3p	0.249296
miR-188-5p	0.061128
miR-18a-5p	0.075169
miR-18a-3p	-0.051671
miR-18b-5p	0.271387
miR-18b-3p	-0.063738
miR-190a-5p	0.063075
miR-1908-5p	0.081683
miR-190b	-0.077688
miR-191-5p	0.062837
miR-191-3p	-0.553879
miR-192-5p	0.176538
miR-192-3p	0.074893
miR-193a-3p	-0.055749
miR-193a-5p	-0.075829
miR-193b-3p	0.191266
miR-193b-5p	-0.268321
miR-194-5p	0.049225
miR-194-3p	-0.140341
miR-195-5p	-0.233574
miR-195-3p	-0.511762
miR-196a-5p	-0.718225
miR-196a-3p	-0.103498
miR-196b-5p	-0.685136
miR-197-3p	0.058067
miR-198	-0.120173
miR-199a-3p	0.374963
miR-199a-5p	0.292904
miR-199b-5p	-0.10116
miR-19a-3p	0.192957
miR-19a-5p	-0.161926
miR-19b-3p	0.050291
miR-19b-1-5p	-0.115607
miR-19b-2-5p	0.418118
miR-200a-3p	0.099211
miR-200a-5p	0.11171
miR-200b-3p	-0.071552
miR-200b-5p	0.112182
miR-200c-3p	-0.259703
miR-200c-5p	-0.271485
miR-202-3p	0.158471
miR-202-5p	0.081391
miR-203a-3p	0.090189
miR-204-5p	-0.061916
miR-205-5p	0.153031
miR-206	-0.109897
miR-208a-3p	-0.587493
miR-208b-3p	-0.259848
miR-20a-5p	0.081363
miR-20a-3p	0.042164
miR-20b-5p	-0.419213
miR-20b-3p	-0.050494
miR-21-5p	0.0926
miR-21-3p	0.081752
miR-210-3p	-0.256428
miR-211-5p	0.047033
miR-212-3p	0.171325
miR-214-3p	-0.065234
miR-214-5p	-0.085675
miR-215-5p	0.120405
miR-216a-5p	0.116186
miR-216b-5p	-0.272955
miR-217	0.326485
miR-218-5p	0.274045
miR-218-1-3p	-0.223869
miR-218-2-3p	0.10632
miR-219a-1-3p	-0.665823
miR-219a-2-3p	-0.101077
miR-219a-5p	0.100001
miR-22-3p	0.075745
miR-22-5p	-0.074108
-	0.210765
-	-0.080722
-	0.455434
miR-221-3p	0.057822
miR-221-5p	-0.322829
miR-222-3p	0.035983
miR-222-5p	0.051615
miR-223-3p	0.053814
miR-223-5p	0.061017
miR-224-5p	-0.068474
miR-23a-3p	-0.035444
miR-23a-5p	-0.084073
miR-23b-3p	-0.05544
miR-23b-5p	0.052963
miR-24-3p	-0.282398
miR-24-1-5p	0.045423
miR-24-2-5p	-0.056281
miR-25-3p	0.106797
miR-25-5p	-0.049462
miR-26a-5p	-0.037133
miR-26a-1-3p	0.195164
miR-26a-2-3p	0.251955
miR-26b-5p	0.087152
miR-26b-3p	0.410386
miR-27a-3p	0.064809
miR-27a-5p	0.132329
miR-27b-3p	-0.083131
miR-27b-5p	0.041472
miR-28-3p	0.434466
miR-28-5p	-0.036393
miR-296-3p	-0.078689
miR-296-5p	0.053797
miR-297	0.055502
miR-298	-0.055301
miR-299-3p	0.070635
miR-299-5p, miR-299-3p	-0.105312
miR-29a-3p	0.412026
miR-29a-5p	-0.092967
miR-29b-3p	0.145954
miR-29b-1-5p	0.314441
miR-29b-2-5p	0.04751
miR-29c-3p	-0.068817
miR-29c-5p	-0.073991
miR-300	0.072849
miR-301a-3p	-0.084576
miR-301b-3p	-0.183911
miR-302a-3p	-0.085026
miR-302a-5p	-0.781046
miR-302b-3p	-0.045543
miR-302b-5p	-0.111837
miR-302c-3p	0.079044
miR-302c-5p	-0.38567
miR-302d-3p	-0.051847
miR-302d-5p	0.050054
miR-302e	-0.302243
miR-302f	0.115994
miR-30a-5p, miR-30a-3p	0.068724
miR-30a-5p, miR-30a-3p	0.116848
miR-30b-5p	0.044911
miR-30b-3p	-0.09051
miR-30c-5p	-0.122697
miR-30c-1-3p	-0.035344
miR-30c-2-3p	-0.24447
miR-30d-5p	0.08818
miR-30d-3p	-0.286683
miR-30e-5p	-0.067736
miR-30e-3p	0.078486
miR-31-5p	0.180978
miR-31-3p	0.148586
miR-32-5p	0.086633
miR-32-3p	0.151432
miR-320a	-0.434495
miR-320b	-0.07054
miR-320c	-0.079053
miR-320d	-0.077952
miR-323a-3p	0.081607
miR-323a-5p	-0.070519
miR-324-3p	0.172628
miR-324-5p	0.041775
miR-325	0.066142
miR-326	0.048053
miR-328-3p	0.055577
miR-329-3p	-0.253247
miR-330-3p	0.191167
miR-330-5p	0.042297
miR-331-3p	-0.077575
miR-331-5p	0.042854
miR-335-5p	-0.402068
miR-335-3p	-0.102083
miR-337-3p	0.045048
miR-337-5p	-0.114308
miR-338-3p	0.075199
miR-338-5p	-0.070172
miR-339-3p	0.124889
miR-339-5p	0.090838
miR-33a-5p	0.118038
miR-33a-3p	0.072504
miR-33b-5p	0.045036
miR-33b-3p	0.040473
miR-340-3p, miR-340-5p	-0.527923
miR-340-3p	0.115465
miR-342-3p	0.334441
miR-342-5p	-0.071109
miR-345-5p	-0.070525
miR-346	0.084453
miR-34a-5p	-0.072183
miR-34a-3p	-0.134189
miR-34b-3p, miR-34b-5p	-0.129911
miR-34b-5p	-0.079655
miR-34c-3p	0.062427
miR-34c-5p	0.382584
miR-361-3p	-0.453376
miR-361-5p	0.070148
miR-362-3p	0.086233
miR-362-5p	0.180838
miR-363-3p	-0.066685
miR-363-5p	0.239514
miR-365a-3p	0.19143
miR-367-3p	0.141455
miR-367-5p	-0.55439
miR-369-3p	-0.054674
miR-369-5p	-0.317287
miR-371a-3p	0.191968
miR-371a-5p	-0.153683
miR-372-3p	-0.14232
miR-373-3p	0.124565
miR-373-5p	0.556989
miR-374a-5p	0.073443
miR-374a-3p	0.203248
miR-374b-5p	0.052312
miR-374b-3p	-0.069059
miR-375	-0.181995
miR-376a-3p	0.105077
miR-376a-5p	0.113425
miR-376b-3p	-0.038311
miR-376c-3p	0.052602
miR-377-3p	0.438987
miR-377-5p	0.425963
miR-378a-5p, miR-378a-3p	-0.571848
miR-378a-5p	0.065164
miR-379-5p	-0.202342
miR-379-3p	-0.052364
miR-380-3p	-0.090512
miR-380-5p	-0.495205
miR-381-3p	0.162534
miR-382-5p	0.041548
miR-383-5p	0.060884
miR-384	-0.073389
miR-409-3p	0.055374
miR-409-5p	-0.071964
miR-410-3p	0.066806
miR-411-5p	-0.153907
miR-411-3p	0.056143
miR-412-3p	-0.028876
miR-421	-0.113582
miR-422a	0.286913
miR-423-3p	0.434395
miR-423-5p	0.05311
miR-424-5p	-0.236595
miR-424-3p	-0.031562
miR-425-3p, miR-425-5p	0.178401
miR-425-3p	-0.033659
miR-429	-0.216553
miR-431-5p	-0.468359
miR-431-3p	-0.095367
miR-432-5p	0.052894
miR-432-3p	-0.062383
miR-433-3p	0.094715
miR-448	0.156152
miR-449a	-0.029838
miR-449b-5p	-0.085544
miR-450a-5p	-0.042944
miR-450b-3p	0.203033
miR-450b-5p	0.396601
miR-451a	-0.260718
miR-452-5p	-0.430842
miR-452-3p	-0.367833
miR-323b-5p	-0.466696
miR-454-3p	0.056174
miR-454-5p	0.05441
miR-455-3p	-0.080494
miR-455-5p	0.090206
miR-483-3p	0.151252
miR-483-5p	0.045232
miR-484	-0.190152
miR-485-3p	-0.041164
miR-485-5p	-0.287948
miR-486-3p	0.032398
miR-486-5p	-0.036164
miR-487a-3p	0.081152
miR-487b-3p	0.08408
miR-488-3p, miR-488-5p	-0.448886
miR-488-5p	-0.038661
miR-489-3p	-0.271577
miR-490-3p	-0.058244
miR-490-5p	0.078435
miR-491-3p	-0.078514
miR-491-5p	-0.44353
miR-492	0.123212
miR-493-5p, miR-493-3p	0.18967
miR-493-5p	0.186734
miR-494-3p	0.292966
miR-495-3p	-0.06011
miR-496	-0.378575
miR-497-5p	-0.070291
miR-497-3p	-0.06444
miR-498	0.098166
miR-499a-3p	-0.239495
miR-499a-5p	0.119572
miR-500a-3p, miR-500a-5p	-0.077904
miR-500a-3p	-0.073188
miR-501-3p	-0.122416
miR-501-5p	0.182133
miR-502-3p	0.071584
miR-502-5p	0.042214
miR-503-5p	0.146353
miR-504-5p	-0.144766
miR-505-3p	0.105363
miR-505-5p	-0.047816
miR-506-3p	-0.116382
miR-507	-0.069376
miR-508-3p	0.042327
miR-508-5p	-0.129331
miR-509-3-5p	-0.090473
miR-509-3p	0.060252
miR-509-5p	0.050033
miR-510-5p	-0.099518
miR-511-5p	-0.031523
miR-512-3p	0.363305
miR-512-5p	-0.045984
miR-513a-3p	0.041208
miR-513a-5p	-0.080685
miR-513b-5p	0.042909
miR-513c-5p	0.063315
miR-514a-3p	-0.062049
miR-515-3p	0.075225
miR-515-5p	0.050472
-, miR-516a-5p	-0.323144
miR-516b-5p	-0.062693
miR-516b-3p	0.065253
miR-517-5p	0.099504
miR-517a-3p	0.079383
miR-517b-3p	0.161897
miR-517c-3p	-0.056036
miR-518a-3p	0.161415
miR-518a-5p	0.115419
miR-518b	0.07205
miR-518c-3p	0.094568
miR-518c-5p	0.070037
miR-518d-3p	0.418922
miR-518e-3p	-0.040635
miR-518f-3p	-0.050387
miR-518f-5p	-0.068754
miR-519a-3p	0.051188
miR-519b-3p	0.052693
miR-519c-3p	0.076618
miR-519d-3p	0.140825
miR-519e-3p	0.087517
miR-519e-5p	-0.021045
miR-520a-3p	0.131686
miR-520a-5p	-0.071991
miR-520b	-0.064676
miR-520c-3p	0.066055
miR-520d-3p	0.031681
miR-520d-5p	0.196126
miR-520e	0.065838
miR-520f-3p	0.325667
miR-520g-3p	0.037566
miR-520h	0.116982
miR-521	0.064855
miR-522-3p	0.070436
miR-523-3p	0.046472
miR-523-5p	-0.032531
miR-524-3p	0.37764
miR-524-5p	0.086349
miR-525-3p	0.034926
miR-525-5p	-0.134397
miR-526a	-0.045358
miR-526b-5p	0.042928
miR-526b-3p	-0.115846
miR-532-3p	-0.301242
miR-532-5p	-0.054029
miR-539-5p	0.154748
miR-541-3p	0.062315
miR-541-5p	-0.057799
miR-542-3p	-0.285258
miR-542-5p	0.059547
miR-543	-0.057067
miR-544a	-0.346736
miR-545-3p	-0.152693
miR-545-5p	0.137054
miR-548a-3p	0.188892
miR-548a-5p	0.04551
miR-548b-3p	-0.03438
miR-548b-5p	-0.124188
miR-548c-3p	0.075346
miR-548c-5p	0.069111
miR-548d-3p	-0.071177
miR-548d-5p	0.032643
miR-548e-3p	-0.056934
miR-548f-3p	0.169044
miR-548g-3p	0.055504
miR-548h-5p	0.061325
miR-548i	0.04382
miR-548j-5p	-0.429625
miR-548k	0.041738
miR-548l	0.068093
miR-548m	-0.04951
miR-548n	-0.027519
miR-548o-3p	-0.103132
miR-548p	0.043461
miR-549a	0.038495
miR-550a-3p, miR-550a-5p	-0.054323
miR-550a-3p	-0.310442
miR-551a	0.050419
miR-551b-3p	-0.051023
miR-551b-5p	0.077366
miR-552-3p	-0.392058
miR-553	0.058593
miR-554	-0.029206
miR-555	0.230578
miR-556-3p	0.15992
miR-556-5p	0.04263
miR-557	0.080105
miR-558	0.067848
miR-559	0.248869
miR-561-3p	0.184815
miR-562	0.033677
miR-563	0.080575
miR-564	-0.166861
miR-566	0.322915
miR-567	0.045149
miR-568	-0.063566
miR-569	-0.030297
miR-570-3p	0.1772
miR-571	0.041912
miR-572	0.058736
miR-573	0.169683
miR-574-3p	0.052363
miR-574-5p	0.216542
miR-575	0.052181
miR-576-3p	-0.059256
miR-576-5p	-0.074005
miR-577	-0.023824
miR-578	0.0508
miR-579-3p	-0.025215
miR-580-3p	0.042381
miR-581	-0.067153
miR-582-3p	0.038123
miR-582-5p	-0.438996
miR-583	-0.031936
miR-584-5p	-0.171631
