Open Circuits miRNA_TF_mRNA 1


TF		miRNA		mRNA


AFF4	|------	miR-410-3p	------|	ADM

AFF4	|------	miR-410-3p	------|	ARHGAP5

AFF4	|------	miR-410-3p	------|	BAZ2B

AFF4	|------	miR-410-3p	------|	BMPR1A

AFF4	|------	miR-410-3p	------|	BTG3

AFF4	|------	miR-410-3p	------|	C1orf21

AFF4	|------	miR-410-3p	------|	CALN1

AFF4	|------	miR-410-3p	------|	CDC42EP3

AFF4	|------	miR-410-3p	------|	CHIC2

AFF4	|------	miR-410-3p	------|	CNOT7

AFF4	|------	miR-410-3p	------|	COPS7B

AFF4	|------	miR-410-3p	------|	DCDC2

AFF4	|------	miR-410-3p	------|	DIAPH2

AFF4	|------	miR-410-3p	------|	DIXDC1

AFF4	|------	miR-410-3p	------|	DPYSL2

AFF4	|------	miR-410-3p	------|	FBXO3

AFF4	|------	miR-410-3p	------|	FBXO42

AFF4	|------	miR-410-3p	------|	FOSB

AFF4	|------	miR-410-3p	------|	FZD1

AFF4	|------	miR-410-3p	------|	GAB1

AFF4	|------	miR-410-3p	------|	GFPT1

AFF4	|------	miR-410-3p	------|	GLRA3

AFF4	|------	miR-410-3p	------|	GUCY1A3

AFF4	|------	miR-410-3p	------|	HLF

AFF4	|------	miR-410-3p	------|	HNRNPA3

AFF4	|------	miR-410-3p	------|	HS3ST1

AFF4	|------	miR-410-3p	------|	IFRD1

AFF4	|------	miR-410-3p	------|	IP6K1

AFF4	|------	miR-410-3p	------|	IRS1

AFF4	|------	miR-410-3p	------|	KIT

AFF4	|------	miR-410-3p	------|	KMT2D

AFF4	|------	miR-410-3p	------|	MPP7

AFF4	|------	miR-410-3p	------|	NFIB

AFF4	|------	miR-410-3p	------|	NUDT3

AFF4	|------	miR-410-3p	------|	PAPPA

AFF4	|------	miR-410-3p	------|	PBRM1

AFF4	|------	miR-410-3p	------|	PJA2

AFF4	|------	miR-410-3p	------|	PRRC2B

AFF4	|------	miR-410-3p	------|	RAI14

AFF4	|------	miR-410-3p	------|	RAPGEF2

AFF4	|------	miR-410-3p	------|	RASAL2

AFF4	|------	miR-410-3p	------|	RERE

AFF4	|------	miR-410-3p	------|	RNF150

AFF4	|------	miR-410-3p	------|	RRAGD

AFF4	|------	miR-410-3p	------|	RTN4RL1

AFF4	|------	miR-410-3p	------|	SAMD4A

AFF4	|------	miR-410-3p	------|	SAV1

AFF4	|------	miR-410-3p	------|	SCAMP5

AFF4	|------	miR-410-3p	------|	SLC34A2

AFF4	|------	miR-410-3p	------|	SNTB2

AFF4	|------	miR-410-3p	------|	SPRED1

AFF4	|------	miR-410-3p	------|	STARD13

AFF4	|------	miR-410-3p	------|	TEAD1

AFF4	|------	miR-410-3p	------|	TM4SF1

AFF4	|------	miR-410-3p	------|	TMEM132B

AFF4	|------	miR-410-3p	------|	TNFRSF10B

AFF4	|------	miR-410-3p	------|	TNRC18

AFF4	|------	miR-410-3p	------|	TNS1

AFF4	|------	miR-410-3p	------|	TSC22D1

AFF4	|------	miR-410-3p	------|	UBE2H

